Factura;Dia;Fecha;DiaVence;FechaVence;Cliente;Producto;Cantidad;Moneda;Total;Almacén;Vendedor;TotalUSD;Impuesto;ImpuestoUSD;Tipo de cambio;Ganacia;GananciaUSD
FA 502794;6;dic-16;6;ene-17;1260;384;9;colones;20,160.00;1;-1;0;0;0;0;5,404.01;0
FA 502872;6;dic-16;6;ene-17;2019;337;1;colones;1,378.58;1;-1;0;0;0;0;6.096.600;0
FA 502884;6;dic-16;6;ene-17;2019;337;1;colones;1,378.58;1;-1;0;0;0;0;6.096.600;0
FA 502936;6;dic-16;6;ene-17;1356;339;60;colones;9,720.00;1;-1;0;1,263.60;0;0;3,609.11;0
FA 502948;6;dic-16;6;ene-17;1074;338;50;colones;3,400.00;1;-1;0;442;0;0;1,541.19;0
FA 502961;6;dic-16;7;dic-16;535;389;10;colones;86,490.00;1;-1;0;11,243.70;0;0;23,967.76;0
FA 502968;6;dic-16;27;nov-16;1291;377;1;colones;12,765.00;1;-1;0;0;0;0;1,848.71;0
FA 503060;6;dic-16;6;feb-17;571;379;6;colones;32,970.00;1;-1;0;0;0;0;7,187.18;0
FA 503060;6;dic-16;6;feb-17;571;376;6;colones;29,970.00;1;-1;0;0;0;0;6,188.18;0
FA 503147;7;dic-16;7;ene-17;2029;347;15;colones;232,500.00;1;-1;0;30,225.00;0;0;22,503.33;0
FA 503231;7;dic-16;7;ene-17;3017;379;4;colones;21,486.60;1;-1;0;0;0;0;4,298.05;0
FA 503318;7;dic-16;7;ene-17;1244;338;50;colones;3,060.00;1;-1;0;397.8;0;0;1,201.18;0
FA 503367;7;dic-16;23;dic-16;2363;376;3;colones;14,862.60;1;-1;0;0;0;0;2,971.69;0
FA 503402;7;dic-16;23;dic-16;668;379;1;colones;5,495.00;1;-1;0;0;0;0;1,197.86;0
FA 503403;7;dic-16;7;ene-17;384;326;12;colones;11,940.00;1;-1;0;0;0;0;5,505.72;0
FA 503403;7;dic-16;7;ene-17;384;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 503438;7;dic-16;7;ene-17;80;329;5;colones;5,125.00;1;-1;0;0;0;0;2,230.67;0
FA 503447;7;dic-16;7;ene-17;644;329;15;colones;15,375.00;1;-1;0;0;0;0;6,692.01;0
FA 503451;7;dic-16;7;ene-17;1275;349;37;colones;63,270.00;1;-1;0;8,225.10;0;0;1,998.84;0
FA 503463;7;dic-16;7;ene-17;3457;320;8;colones;9,160.00;1;-1;0;1,190.80;0;0;2,840.84;0
FA 503468;8;dic-16;8;dic-16;3369;344;20;colones;3,590.40;1;-1;0;466.75;0;0;1,826.42;0
FA 503468;8;dic-16;8;dic-16;3369;345;20;colones;3,889.60;1;-1;0;505.65;0;0;2,026.45;0
FA 503471;8;dic-16;8;mar-17;395;376;8;colones;39,633.60;1;-1;0;0;0;0;7,924.51;0
FA 503488;8;dic-16;8;feb-17;910;321;360;colones;248,346.00;2;-1;0;0;0;0;48,391.99;0
FA 503488;8;dic-16;8;feb-17;910;329;240;colones;202,800.00;2;-1;0;0;0;0;55,760.14;0
FA 503500;8;dic-16;8;feb-17;479;309;1;colones;11,795.00;1;-1;0;1,533.34;0;0;5,308.20;0
FA 503532;8;dic-16;8;ene-17;350;344;50;colones;9,690.00;1;-1;0;1,259.70;0;0;5,280.04;0
FA 503532;8;dic-16;8;ene-17;350;343;49;colones;13,499.50;1;-1;0;1,754.94;0;0;6,038.53;0
FA 503532;8;dic-16;8;ene-17;350;345;25;colones;5,248.75;1;-1;0;682.34;0;0;2,919.81;0
FA 503544;8;dic-16;8;feb-17;910;329;240;colones;202,800.00;2;-1;0;25,309.44;0;0;55,760.14;0
FA 503544;8;dic-16;8;feb-17;910;321;360;colones;248,346.00;2;-1;0;30,993.58;0;0;48,391.99;0
FA 503574;8;dic-16;8;ene-17;452;359;6;colones;9,414.00;1;-1;0;0;0;0;-2,425.62;0
FA 503578;8;dic-16;29;nov-16;1291;356;1;colones;11,265.00;1;-1;0;0;0;0;1,817.55;0
FA 503578;8;dic-16;29;nov-16;1291;377;1;colones;12,765.00;1;-1;0;0;0;0;1,848.71;0
FA 503593;8;dic-16;8;ene-17;1400;379;2;colones;10,990.00;1;-1;0;0;0;0;2,395.73;0
FA 503598;8;dic-16;8;ene-17;1467;379;6;colones;32,229.90;1;-1;0;0;0;0;6,447.08;0
FA 503598;8;dic-16;8;ene-17;1467;376;6;colones;29,725.20;1;-1;0;0;0;0;5,943.38;0
FA 503606;8;dic-16;8;ene-17;1907;339;200;colones;32,400.00;1;-1;0;4,212.00;0;0;12,030.36;0
FA 503606;8;dic-16;8;ene-17;1907;338;150;colones;10,200.00;1;-1;0;1,326.00;0;0;4,623.56;0
FA 503651;8;dic-16;8;ene-17;1977;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 503651;8;dic-16;8;ene-17;1977;326;11;colones;10,945.00;1;-1;0;0;0;0;5,046.91;0
FA 503678;9;dic-16;24;ene-17;1820;384;6;colones;11,852.22;1;-1;0;0;0;0;1,990.62;0
FA 503744;9;dic-16;9;ene-17;344;336;24;colones;34,992.00;1;-1;0;4,548.96;0;0;18,127.05;0
FA 503744;9;dic-16;9;ene-17;344;321;25;colones;23,250.00;1;-1;0;0;0;0;10,054.16;0
FA 503860;9;dic-16;9;ene-17;3201;329;6;colones;6,150.00;1;-1;0;0;0;0;2,676.80;0
FA 503860;9;dic-16;9;ene-17;3201;324;6;colones;7,854.00;1;-1;0;1,021.02;0;0;2,604.13;0
FA 503865;9;dic-16;9;ene-17;2019;337;24;colones;33,085.92;1;-1;0;0;0;0;14,631.73;0
FA 503946;9;dic-16;24;ene-17;1117;338;250;colones;12,750.00;1;-1;0;1,657.50;0;0;3,455.92;0
FA 503967;10;dic-16;2;dic-16;712;371;4;colones;16,700.00;1;-1;0;2,171.00;0;0;3,187.59;0
FA 504035;12;dic-16;12;ene-17;1074;349;1;colones;1,900.00;1;-1;0;247;0;0;2.440.200;0
FA 504079;12;dic-16;28;dic-16;3457;320;8;colones;9,160.00;1;-1;0;1,190.80;0;0;2,840.85;0
FA 504096;12;dic-16;3;dic-16;957;309;1;colones;11,795.00;1;-1;0;1,533.35;0;0;5,308.20;0
FA 504194;12;dic-16;12;ene-17;936;336;6;colones;8,748.00;1;-1;0;1,137.24;0;0;4,531.76;0
FA 504210;12;dic-16;12;feb-17;910;341;30;colones;5,411.10;2;-1;0;675.31;0;0;2,594.07;0
FA 504228;12;dic-16;12;feb-17;910;341;30;colones;5,411.10;2;-1;0;675.31;0;0;2,594.07;0
FA 504240;12;dic-16;12;feb-17;910;321;180;colones;124,173.00;2;-1;0;15,496.79;0;0;24,196.00;0
FA 504240;12;dic-16;12;feb-17;910;329;120;colones;101,400.00;2;-1;0;12,654.72;0;0;27,880.07;0
FA 504271;12;dic-16;12;ene-17;629;321;50;colones;46,500.00;1;-1;0;0;0;0;20,108.31;0
FA 504271;12;dic-16;12;ene-17;629;329;50;colones;51,250.00;1;-1;0;0;0;0;22,306.69;0
FA 504287;12;dic-16;12;ene-17;652;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 504287;12;dic-16;12;ene-17;652;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 504288;12;dic-16;12;dic-16;3124;329;3;colones;3,075.00;1;-1;0;0;0;0;1,338.40;0
FA 504288;12;dic-16;12;dic-16;3124;348;6;colones;7,650.00;1;-1;0;994.5;0;0;9.807.500;0
FA 504313;12;dic-16;12;feb-17;345;313;2;colones;26,000.00;1;-1;0;3,380.00;0;0;9,826.07;0
FA 504338;12;dic-16;12;ene-17;1260;384;15;colones;33,600.00;1;-1;0;0;0;0;8,946.00;0
FA 504409;12;dic-16;12;ene-17;2326;348;12;colones;15,300.00;1;-1;0;1,989.00;0;0;1,961.50;0
FA 504588;13;dic-16;13;ene-17;856;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 504590;13;dic-16;13;ene-17;3072;314;2;colones;3,800.00;1;-1;0;494;0;0;7.270.100;0
FA 504591;13;dic-16;13;ene-17;3079;314;3;colones;5,700.00;1;-1;0;741;0;0;1,090.51;0
FA 504599;13;dic-16;13;ene-17;92;330;6;colones;26,160.00;1;-1;0;3,400.80;0;0;9,154.08;0
FA 504599;13;dic-16;13;ene-17;92;319;6;colones;7,068.00;1;-1;0;918.84;0;0;2,154.09;0
FA 504696;14;dic-16;14;dic-16;1242;322;12;colones;12,540.00;1;-1;0;1,630.20;0;0;3,629.32;0
FA 504696;14;dic-16;14;dic-16;1242;340;6;colones;1,259.70;1;-1;0;163.76;0;0;6.792.700;0
FA 504867;14;dic-16;14;ene-17;638;321;24;colones;22,320.00;1;-1;0;0;0;0;9,651.99;0
FA 504875;14;dic-16;14;ene-17;1443;379;3;colones;16,114.95;1;-1;0;0;0;0;3,223.54;0
FA 504875;14;dic-16;14;ene-17;1443;376;3;colones;14,862.60;1;-1;0;0;0;0;2,971.69;0
FA 504875;14;dic-16;14;ene-17;1443;388;4;colones;20,930.00;1;-1;0;2,720.90;0;0;6,371.32;0
FA 504958;14;dic-16;14;feb-17;369;329;6;colones;6,150.00;1;-1;0;0;0;0;2,676.80;0
FA 504958;14;dic-16;14;feb-17;369;321;6;colones;5,580.00;1;-1;0;0;0;0;2,413.00;0
FA 504969;14;dic-16;14;mar-17;233;388;6;colones;28,734.00;1;-1;0;3,735.42;0;0;6,895.98;0
FA 504992;15;dic-16;15;feb-17;910;329;3,000.00;colones;2,535,000.00;2;-1;0;316,368.00;0;0;697,001.70;0
FA 504992;15;dic-16;15;feb-17;910;321;3,000.00;colones;2,069,550.00;2;-1;0;258,279.84;0;0;403,266.60;0
FA 504999;15;dic-16;15;ene-17;207;348;20;colones;25,500.00;1;-1;0;3,315.00;0;0;3,269.16;0
FA 505058;15;dic-16;15;ene-17;1591;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 505081;15;dic-16;15;ene-17;510;329;12;colones;11,685.00;1;-1;0;0;0;0;4,738.61;0
FA 505081;15;dic-16;15;ene-17;510;326;6;colones;5,671.50;1;-1;0;0;0;0;2,454.36;0
FA 505123;15;dic-16;15;ene-17;3442;314;2;colones;3,800.00;1;-1;0;494;0;0;7.270.100;0
FA 505123;15;dic-16;15;ene-17;3442;305;30;colones;8,850.00;1;-1;0;1,150.50;0;0;1,901.75;0
FA 505162;15;dic-16;15;dic-16;3600;329;10;colones;10,250.00;1;-1;0;0;0;0;4,461.34;0
FA 505162;15;dic-16;15;dic-16;3600;321;10;colones;9,300.00;1;-1;0;0;0;0;4,021.66;0
FA 505295;16;dic-16;7;dic-16;1749;314;6;colones;11,400.00;1;-1;0;1,482.00;0;0;2,181.02;0
FA 505348;16;dic-16;16;ene-17;643;329;15;colones;15,375.00;1;-1;0;0;0;0;6,692.01;0
FA 505366;16;dic-16;16;ene-17;80;337;10;colones;13,785.80;1;-1;0;0;0;0;6,096.55;0
FA 505366;16;dic-16;16;ene-17;80;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 505375;16;dic-16;16;ene-17;1404;314;5;colones;9,500.00;1;-1;0;1,235.00;0;0;1,817.51;0
FA 505377;16;dic-16;16;ene-17;3157;301;24;colones;5,880.00;1;-1;0;764.4;0;0;2,066.77;0
FA 505408;16;dic-16;16;ene-17;572;388;12;colones;62,790.00;1;-1;0;8,162.70;0;0;19,113.95;0
FA 505420;16;dic-16;16;mar-17;3023;379;10;colones;53,716.50;1;-1;0;0;0;0;10,745.13;0
FA 505420;16;dic-16;16;mar-17;3023;387;10;colones;53,530.00;1;-1;0;6,958.90;0;0;19,083.70;0
FA 505420;16;dic-16;16;mar-17;3023;388;1;colones;5,232.50;1;-1;0;680.22;0;0;1,592.83;0
FA 505429;16;dic-16;16;ene-17;1977;329;6;colones;6,150.00;1;-1;0;0;0;0;2,676.80;0
FA 505429;16;dic-16;16;ene-17;1977;326;5;colones;4,975.00;1;-1;0;0;0;0;2,294.05;0
FA 505429;16;dic-16;16;ene-17;1977;321;6;colones;5,580.00;1;-1;0;0;0;0;2,413.00;0
FA 505471;16;dic-16;16;ene-17;1244;329;20;colones;18,450.00;1;-1;0;0;0;0;6,872.68;0
FA 505490;16;dic-16;16;ene-17;2235;359;24;colones;49,848.00;1;-1;0;0;0;0;3,180.15;0
FA 505491;16;dic-16;16;feb-17;345;348;36;colones;45,900.00;1;-1;0;5,967.00;0;0;5,884.50;0
FA 505559;16;dic-16;16;ene-17;1074;344;20;colones;4,080.00;1;-1;0;530.4;0;0;2,316.02;0
FA 505559;16;dic-16;16;ene-17;1074;345;15;colones;3,315.00;1;-1;0;430.95;0;0;1,917.64;0
FA 505673;19;dic-16;19;feb-17;910;341;30;colones;5,411.10;2;-1;0;675.31;0;0;2,594.07;0
FA 505757;19;dic-16;19;dic-16;2205;345;12;colones;2,519.40;1;-1;0;327.52;0;0;1,401.51;0
FA 505757;19;dic-16;19;dic-16;2205;344;12;colones;2,325.60;1;-1;0;302.33;0;0;1,267.21;0
FA 505774;19;dic-16;19;ene-17;1351;348;50;colones;63,750.00;1;-1;0;8,287.50;0;0;8,172.91;0
FA 505799;19;dic-16;19;ene-17;384;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 505946;20;dic-16;20;ene-17;1919;336;6;colones;8,748.00;1;-1;0;1,137.24;0;0;4,531.76;0
FA 505954;20;dic-16;20;ene-17;643;329;8;colones;8,200.00;1;-1;0;0;0;0;3,569.07;0
FA 505960;20;dic-16;20;ene-17;356;336;12;colones;17,496.00;1;-1;0;2,274.48;0;0;9,063.52;0
FA 505977;20;dic-16;20;ene-17;1422;341;12;colones;2,656.80;1;-1;0;345.38;0;0;1,616.56;0
FA 505977;20;dic-16;20;ene-17;1422;321;12;colones;11,394.00;1;-1;0;0;0;0;5,059.99;0
FA 506020;20;dic-16;20;ene-17;327;338;50;colones;3,400.00;1;-1;0;442;0;0;1,541.19;0
FA 506249;21;dic-16;21;ene-17;994;329;48;colones;46,740.00;1;-1;0;0;0;0;18,954.43;0
FA 506255;21;dic-16;21;ene-17;2174;348;12;colones;15,300.00;1;-1;0;1,989.00;0;0;1,961.50;0
FA 506283;21;dic-16;21;mar-17;1473;321;24;colones;22,320.00;1;-1;0;0;0;0;9,651.99;0
FA 506287;21;dic-16;21;ene-17;2138;336;1;colones;1,458.00;1;-1;0;189.54;0;0;7.552.900;0
FA 506291;21;dic-16;21;ene-17;621;319;12;colones;14,136.00;1;-1;0;1,837.68;0;0;4,308.18;0
FA 506291;21;dic-16;21;ene-17;621;322;8;colones;8,800.00;1;-1;0;1,144.00;0;0;2,859.54;0
FA 506313;21;dic-16;21;ene-17;1351;308;2;colones;16,590.00;1;-1;0;2,156.70;0;0;7,549.52;0
FA 506314;21;dic-16;21;ene-17;1351;348;50;colones;63,750.00;1;-1;0;8,287.50;0;0;8,172.91;0
FA 506325;21;dic-16;21;ene-17;84;376;6;colones;29,725.20;1;-1;0;0;0;0;5,943.38;0
FA 506336;21;dic-16;21;ene-17;3285;338;50;colones;3,400.00;1;-1;0;442;0;0;1,541.18;0
FA 506433;22;dic-16;22;feb-17;479;359;6;colones;9,406.44;1;-1;0;0;0;0;-2,260.52;0
FA 506454;22;dic-16;22;ene-17;329;321;15;colones;13,950.00;1;-1;0;0;0;0;6,032.49;0
FA 506495;22;dic-16;22;ene-17;883;336;30;colones;43,740.00;1;-1;0;5,686.20;0;0;22,658.81;0
FA 506602;22;dic-16;22;ene-17;1611;309;2;colones;23,590.00;1;-1;0;3,066.70;0;0;10,616.40;0
FA 506617;22;dic-16;22;ene-17;92;329;10;colones;10,250.00;1;-1;0;0;0;0;4,461.34;0
FA 506617;22;dic-16;22;ene-17;92;326;1;colones;995;1;-1;0;0;0;0;4.588.100;0
FA 506710;22;dic-16;6;ene-17;3554;341;12;colones;2,652.00;1;-1;0;344.76;0;0;1,611.77;0
FA 506744;23;dic-16;23;ene-17;278;382;36;colones;64,851.48;1;-1;0;0;0;0;14,689.44;0
FA 506795;23;dic-16;23;ene-17;2007;329;6;colones;6,150.00;1;-1;0;0;0;0;2,676.80;0
FA 506849;23;dic-16;23;ene-17;53;388;6;colones;31,395.00;1;-1;0;4,081.35;0;0;4,095.00;0
FA 506893;23;dic-16;23;ene-17;856;379;6;colones;32,229.90;1;-1;0;0;0;0;6,447.08;0
FA 506893;23;dic-16;23;ene-17;856;376;6;colones;29,725.20;1;-1;0;0;0;0;5,943.38;0
FA 506894;23;dic-16;23;ene-17;2019;329;24;colones;24,600.00;1;-1;0;0;0;0;10,707.21;0
FA 506894;23;dic-16;23;ene-17;2019;321;24;colones;22,320.00;1;-1;0;0;0;0;9,651.99;0
FA 506907;23;dic-16;23;ene-17;3316;321;6;colones;5,580.00;1;-1;0;0;0;0;2,413.00;0
FA 506949;23;dic-16;23;ene-17;2110;376;6;colones;29,725.20;1;-1;0;0;0;0;5,943.38;0
FA 506949;23;dic-16;23;ene-17;2110;379;4;colones;21,486.60;1;-1;0;0;0;0;4,298.05;0
FA 507004;23;dic-16;23;dic-16;3124;329;3;colones;3,075.00;1;-1;0;0;0;0;1,338.40;0
FA 507030;26;dic-16;26;feb-17;910;341;30;colones;5,411.10;2;-1;0;675.31;0;0;2,884.91;0
FA 507039;26;dic-16;26;feb-17;910;341;60;colones;10,822.20;2;-1;0;1,350.61;0;0;5,769.80;0
FA 507041;26;dic-16;26;dic-16;1586;329;36;colones;36,900.00;1;-1;0;0;0;0;16,060.82;0
FA 507041;26;dic-16;26;dic-16;1586;319;36;colones;42,408.00;1;-1;0;5,513.04;0;0;12,924.53;0
FA 507041;26;dic-16;26;dic-16;1586;337;6;colones;8,271.48;1;-1;0;0;0;0;3,657.93;0
FA 507060;27;dic-16;27;feb-17;910;329;12,000.00;colones;10,140,000.00;2;-1;0;0;0;0;2,788,006.80;0
FA 507060;27;dic-16;27;feb-17;910;321;12,000.00;colones;8,278,200.00;2;-1;0;0;0;0;1,613,066.40;0
FA 507065;27;dic-16;27;feb-17;910;329;12,000.00;colones;10,140,000.00;2;-1;0;1,265,472.00;0;0;2,788,006.80;0
FA 507065;27;dic-16;27;feb-17;910;321;12,000.00;colones;8,278,200.00;2;-1;0;1,033,119.36;0;0;1,613,066.40;0
FA 507268;3;ene-17;3;feb-17;3182;388;4;colones;20,932.00;1;-1;0;2,721.16;0;0;2,732.00;0
FA 507268;3;ene-17;3;feb-17;3182;376;3;colones;14,862.00;1;-1;0;0;0;0;2,971.09;0
FA 507268;3;ene-17;3;feb-17;3182;379;3;colones;16,116.00;1;-1;0;0;0;0;3,224.59;0
FA 507268;3;ene-17;3;feb-17;3182;382;5;colones;9,005.00;1;-1;0;0;0;0;2,038.05;0
FA 507295;3;ene-17;3;feb-17;34;382;12;colones;21,617.16;1;-1;0;0;0;0;4,896.48;0
FA 507298;3;ene-17;3;feb-17;1722;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 507298;3;ene-17;3;feb-17;1722;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 507324;3;ene-17;3;feb-17;1074;345;12;colones;2,652.00;1;-1;0;344.76;0;0;1,534.11;0
FA 507343;3;ene-17;3;feb-17;149;348;12;colones;15,300.00;1;-1;0;1,989.00;0;0;1,961.50;0
FA 507352;3;ene-17;26;dic-16;712;379;1;colones;5,371.65;1;-1;0;0;0;0;1,074.51;0
FA 507358;3;ene-17;3;feb-17;3369;345;30;colones;5,834.40;1;-1;0;758.47;0;0;3,039.68;0
FA 507358;3;ene-17;3;feb-17;3369;329;25;colones;25,625.00;1;-1;0;0;0;0;11,153.35;0
FA 507358;3;ene-17;3;feb-17;3369;344;30;colones;5,385.60;1;-1;0;700.13;0;0;2,739.63;0
FA 507358;3;ene-17;3;feb-17;3369;321;25;colones;20,460.00;1;-1;0;0;0;0;7,264.16;0
FA 507363;3;ene-17;3;feb-17;3493;329;6;colones;6,150.00;1;-1;0;0;0;0;2,676.80;0
FA 507368;3;ene-17;3;feb-17;83;344;12;colones;2,448.00;1;-1;0;318.24;0;0;1,389.61;0
FA 507377;3;ene-17;3;feb-17;410;376;6;colones;29,725.20;1;-1;0;0;0;0;5,943.38;0
FA 507377;3;ene-17;3;feb-17;410;355;6;colones;28,020.00;1;-1;0;0;0;0;4,652.33;0
FA 507381;3;ene-17;3;feb-17;1836;388;5;colones;26,162.50;1;-1;0;3,401.13;0;0;3,412.50;0
FA 507381;3;ene-17;3;feb-17;1836;387;4;colones;21,412.00;1;-1;0;2,783.55;0;0;7,633.48;0
FA 507386;3;ene-17;3;feb-17;856;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 507386;3;ene-17;3;feb-17;856;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 507414;3;ene-17;3;ene-17;3482;344;8;colones;1,632.00;1;-1;0;212.16;0;0;9.264.100;0
FA 507442;3;ene-17;3;ene-17;3212;336;2;colones;2,770.20;1;-1;0;360.13;0;0;1,391.51;0
FA 507485;3;ene-17;4;ene-17;1577;321;6;colones;5,580.00;1;-1;0;0;0;0;2,413.00;0
FA 507536;4;ene-17;4;feb-17;2045;345;12;colones;2,652.00;1;-1;0;344.76;0;0;1,534.11;0
FA 507536;4;ene-17;4;feb-17;2045;336;12;colones;17,496.00;1;-1;0;2,274.48;0;0;9,223.85;0
FA 507536;4;ene-17;4;feb-17;2045;344;12;colones;2,448.00;1;-1;0;318.24;0;0;1,389.61;0
FA 507543;4;ene-17;4;ene-17;1242;348;12;colones;14,535.00;1;-1;0;1,889.55;0;0;1,196.50;0
FA 507543;4;ene-17;4;ene-17;1242;340;5;colones;1,049.75;1;-1;0;136.47;0;0;5.660.600;0
FA 507607;4;ene-17;4;mar-17;910;348;48;colones;71,904.00;2;-1;0;8,973.62;0;0;15,673.83;0
FA 507607;4;ene-17;4;mar-17;910;341;90;colones;16,233.30;2;-1;0;2,025.92;0;0;8,398.74;0
FA 507641;4;ene-17;4;feb-17;278;378;10;colones;72,670.00;1;-1;0;0;0;0;15,840.00;0
FA 507641;4;ene-17;4;feb-17;278;377;6;colones;76,590.00;1;-1;0;0;0;0;11,092.27;0
FA 507652;4;ene-17;4;feb-17;1892;376;3;colones;14,862.60;1;-1;0;0;0;0;2,971.69;0
FA 507652;4;ene-17;4;feb-17;1892;382;5;colones;9,007.15;1;-1;0;0;0;0;2,040.20;0
FA 507652;4;ene-17;4;feb-17;1892;379;3;colones;16,114.95;1;-1;0;0;0;0;3,223.54;0
FA 507671;4;ene-17;4;ene-17;2884;379;3;colones;16,114.95;1;-1;0;0;0;0;3,223.54;0
FA 507671;4;ene-17;4;ene-17;2884;376;3;colones;14,862.60;1;-1;0;0;0;0;2,971.69;0
FA 507671;4;ene-17;4;ene-17;2884;382;5;colones;9,007.15;1;-1;0;0;0;0;2,040.20;0
FA 507706;4;ene-17;4;feb-17;482;345;2;colones;442;1;-1;0;57.46;0;0;2.556.800;0
FA 507706;4;ene-17;4;feb-17;482;344;3;colones;612;1;-1;0;79.56;0;0;3.474.000;0
FA 507719;4;ene-17;19;ene-17;894;348;12;colones;14,535.00;1;-1;0;1,889.55;0;0;1,196.50;0
FA 507759;4;ene-17;4;feb-17;629;322;36;colones;39,600.00;1;-1;0;5,148.00;0;0;10,522.03;0
FA 507759;4;ene-17;4;feb-17;629;320;36;colones;41,220.00;1;-1;0;5,358.60;0;0;14,736.27;0
FA 507759;4;ene-17;4;feb-17;629;319;36;colones;42,408.00;1;-1;0;5,513.04;0;0;12,924.53;0
FA 507796;4;ene-17;4;feb-17;828;329;24;colones;24,600.00;1;-1;0;0;0;0;10,707.21;0
FA 507819;5;ene-17;5;feb-17;285;382;15;colones;28,500.00;1;-1;0;0;0;0;7,599.15;0
FA 507889;5;ene-17;5;ene-17;1928;329;48;colones;49,200.00;1;-1;0;0;0;0;21,414.43;0
FA 507889;5;ene-17;5;ene-17;1928;319;24;colones;28,272.00;1;-1;0;0;0;0;8,616.35;0
FA 507899;5;ene-17;5;feb-17;597;329;12;colones;12,300.00;1;-1;0;0;0;0;5,353.61;0
FA 507899;5;ene-17;5;feb-17;597;321;12;colones;11,160.00;1;-1;0;0;0;0;4,825.99;0
FA 507919;5;ene-17;5;feb-17;2321;348;6;colones;7,650.00;1;-1;0;994.5;0;0;9.807.500;0
FA 507919;5;ene-17;5;feb-17;2321;322;6;colones;6,600.00;1;-1;0;858;0;0;1,753.67;0
FA 507994;5;ene-17;5;feb-17;207;348;20;colones;25,500.00;1;-1;0;3,315.00;0;0;3,269.16;0
FA 508004;5;ene-17;5;feb-17;3605;379;3;colones;16,114.95;1;-1;0;0;0;0;3,223.54;0
FA 508004;5;ene-17;5;feb-17;3605;376;3;colones;14,862.60;1;-1;0;0;0;0;2,971.69;0
FA 508004;5;ene-17;5;feb-17;3605;382;2;colones;3,602.86;1;-1;0;0;0;0;8.160.800;0
FA 508015;6;ene-17;6;feb-17;348;309;2;colones;23,590.00;1;-1;0;3,066.70;0;0;10,616.40;0
FA 508015;6;ene-17;6;feb-17;348;308;2;colones;16,590.00;1;-1;0;2,156.70;0;0;7,549.52;0
